P_req_W,Power_actual_W,D0_opt,D1_opt,D2_opt,Irms_opt_A,Efficiency_%,Mode,Power_error_W,Power_error_%
2500,2526.4645979999996,0.06999999999999999,0.49,0.49,11.777021904019724,98.91396116784985,2.0,26.46459799999957,1.0581606557376877
2550,2526.4645979999996,0.06999999999999999,0.49,0.49,11.777021904019724,98.91396116784985,2.0,23.53540200000043,0.9225951391611302
2600,2526.4645979999996,0.06999999999999999,0.49,0.49,11.777021904019724,98.91396116784985,2.0,73.53540200000043,2.827197308727429
2650,2747.207736000002,0.9099999999999999,0.22,0.49,13.563684150450937,98.67835221750089,3.0,97.20773600000211,3.6668327423614526
2700,2795.124150000002,0.9099999999999999,0.25,0.49,13.524332249133856,98.70814562305034,3.0,95.12415000000192,3.5218122917438697
2750,2847.374712000002,0.9099999999999999,0.31,0.45999999999999996,13.481420879355928,98.73948626662482,3.0,97.37471200000209,3.5396114867321735
2800,2897.458200000002,0.9099999999999999,0.4,0.4,13.440289243808422,98.76846050773955,3.0,97.45820000000185,3.4794073545163102
2850,2943.207540000002,0.9099999999999999,0.4,0.43,13.402717076721759,98.79406012856955,3.0,93.20754000000215,3.2692928796914122
2900,2989.679238000002,0.9099999999999999,0.43,0.43,13.36455166489162,98.81925591061663,3.0,89.67923800000199,3.0913215442951394
2950,3036.1509360000023,0.9099999999999999,0.43,0.45999999999999996,13.326386253061484,98.84367391483853,3.0,86.15093600000228,2.9193810911556173
3000,3098.915820000002,0.9099999999999999,0.52,0.55,13.274839876461884,98.87547940524985,2.0,98.91582000000199,3.2960953015662104
3050,3146.591448000002,0.9099999999999999,0.52,0.52,13.235685723392624,98.8987815374796,2.0,96.59144800000195,3.1658947230416894
3100,3178.4554620000026,0.9099999999999999,0.49,0.49,13.209517038597173,98.91396117579362,2.0,78.45546200000263,2.5300052241213358
3150,3178.4554620000026,0.9099999999999999,0.49,0.49,13.209517038597173,98.91396117579362,2.0,28.455462000002626,0.9030613138686965
3200,3178.4554620000026,0.9099999999999999,0.49,0.49,13.209517038597173,98.91396117579362,2.0,21.544537999997374,0.6730564823491838
3250,3178.4554620000026,0.9099999999999999,0.49,0.49,13.209517038597173,98.91396117579362,2.0,71.54453799999737,2.200693263611116
3300,3388.291199999999,0.09999999999999999,0.45999999999999996,0.45999999999999996,13.929218525405934,98.86771106769577,2.0,88.29119999999921,2.6746803998788007
3350,3440.1527999999994,0.09999999999999999,0.45999999999999996,0.49,13.888588413428106,98.89101587835773,2.0,90.15279999999939,2.690325276036986
3400,3492.8081999999995,0.09999999999999999,0.49,0.49,13.847336411981228,98.91396117856401,2.0,92.80819999999949,2.7288503381358273
3450,3492.8081999999995,0.09999999999999999,0.49,0.49,13.847336411981228,98.91396117856401,2.0,42.80819999999949,1.240457838307722
3500,3492.8081999999995,0.09999999999999999,0.49,0.49,13.847336411981228,98.91396117856401,2.0,7.191800000000512,0.20542130819767246
3550,3492.8081999999995,0.09999999999999999,0.49,0.49,13.847336411981228,98.91396117856401,2.0,57.19180000000051,1.610582934384695
3600,3696.694847999999,0.88,0.61,0.61,15.289916749096266,98.75098378895714,2.0,96.69484799999918,2.6852221049708187
3650,3749.7841919999987,0.88,0.52,0.6699999999999999,15.251519619228356,98.7745515880213,2.0,99.78419199999871,2.7330646946041828
3700,3794.9049599999985,0.88,0.4,0.43,15.218885801250954,98.79406013601218,3.0,94.90495999999848,2.5643058632801536
3750,3834.8513279999984,0.88,0.43,0.58,15.18999439359206,98.81094551420516,2.0,84.85132799999838,2.262098853638986
3800,3894.770879999998,0.88,0.43,0.55,15.14665728210372,98.83561882750612,2.0,94.77087999999821,2.493314390949703
3850,3935.1311999999984,0.88,0.55,0.55,15.117466481619346,98.85181082869138,2.0,85.13119999999844,2.210625811477498
3900,3995.6716799999986,0.88,0.52,0.55,15.073680280892782,98.87547941233014,2.0,95.67167999999856,2.45249115611378
