D0,D1,D2,mode,I_rms_sq_original,k
0.06999999999999999,0.64,0.52,1,-3630261333333337.5,0.98
0.06999999999999999,0.64,0.55,1,-3879038933333325.5,0.98
0.06999999999999999,0.6699999999999999,0.33999999999999997,1,-122731733333334.4,0.98
0.06999999999999999,0.6699999999999999,0.37,1,-947394133333340.5,0.98
0.06999999999999999,0.6699999999999999,0.4,1,-1676075733333333.8,0.98
0.06999999999999999,0.6699999999999999,0.43,1,-2308776533333332.0,0.98
0.06999999999999999,0.6699999999999999,0.45999999999999996,1,-2845496533333332.0,0.98
0.06999999999999999,0.6699999999999999,0.49,1,-3286235733333328.0,0.98
0.06999999999999999,0.6699999999999999,0.52,1,-3630994133333336.5,0.98
0.06999999999999999,0.6699999999999999,0.55,1,-3879771733333325.0,0.98
0.06999999999999999,0.6699999999999999,0.58,1,-4032568533333338.5,0.98
0.06999999999999999,0.7,0.33999999999999997,1,-123522133333334.34,0.98
0.06999999999999999,0.7,0.37,1,-948184533333340.4,0.98
0.06999999999999999,0.7,0.4,1,-1676866133333333.8,0.98
0.06999999999999999,0.7,0.43,1,-2309566933333330.5,0.98
0.06999999999999999,0.7,0.45999999999999996,1,-2846286933333330.5,0.98
0.06999999999999999,0.7,0.49,1,-3287026133333326.5,0.98
0.06999999999999999,0.7,0.52,1,-3631784533333335.0,0.98
0.06999999999999999,0.7,0.55,1,-3880562133333323.0,0.98
0.06999999999999999,0.7,0.58,1,-4033358933333337.0,0.98
0.06999999999999999,0.7,0.61,1,-4090174933333336.5,0.98
0.06999999999999999,0.73,0.33999999999999997,1,-124370133333335.05,0.98
0.06999999999999999,0.73,0.37,1,-949032533333341.1,0.98
0.06999999999999999,0.73,0.4,1,-1677714133333334.2,0.98
0.06999999999999999,0.73,0.43,1,-2310414933333331.0,0.98
0.06999999999999999,0.73,0.45999999999999996,1,-2847134933333331.0,0.98
0.06999999999999999,0.73,0.49,1,-3287874133333327.5,0.98
0.06999999999999999,0.73,0.52,1,-3632632533333335.5,0.98
0.06999999999999999,0.73,0.55,1,-3881410133333324.0,0.98
0.06999999999999999,0.73,0.58,1,-4034206933333338.0,0.98
0.06999999999999999,0.73,0.61,1,-4091022933333337.5,0.98
0.06999999999999999,0.73,0.64,1,-4051858133333334.5,0.98
0.06999999999999999,0.76,0.33999999999999997,1,-125275733333335.03,0.98
0.06999999999999999,0.76,0.37,1,-949938133333341.1,0.98
0.06999999999999999,0.76,0.4,1,-1678619733333334.2,0.98
0.06999999999999999,0.76,0.43,1,-2311320533333331.0,0.98
0.06999999999999999,0.76,0.45999999999999996,1,-2848040533333331.0,0.98
0.06999999999999999,0.76,0.49,1,-3288779733333327.5,0.98
0.06999999999999999,0.76,0.52,1,-3633538133333335.5,0.98
0.06999999999999999,0.76,0.55,1,-3882315733333324.0,0.98
0.06999999999999999,0.76,0.58,1,-4035112533333338.0,0.98
0.06999999999999999,0.76,0.61,1,-4091928533333337.5,0.98
0.06999999999999999,0.76,0.64,1,-4052763733333334.5,0.98
0.06999999999999999,0.76,0.6699999999999999,1,-3917618133333338.0,0.98
0.06999999999999999,0.79,0.33999999999999997,1,-126238933333335.78,0.98
0.06999999999999999,0.79,0.37,1,-950901333333341.9,0.98
0.06999999999999999,0.79,0.4,1,-1679582933333335.0,0.98
0.06999999999999999,0.79,0.43,1,-2312283733333330.5,0.98
0.06999999999999999,0.79,0.45999999999999996,1,-2849003733333330.5,0.98
0.06999999999999999,0.79,0.49,1,-3289742933333326.5,0.98
0.06999999999999999,0.79,0.52,1,-3634501333333335.0,0.98
0.06999999999999999,0.79,0.55,1,-3883278933333323.0,0.98
0.06999999999999999,0.79,0.58,1,-4036075733333337.0,0.98
0.06999999999999999,0.79,0.61,1,-4092891733333336.5,0.98
0.06999999999999999,0.79,0.64,1,-4053726933333333.5,0.98
0.06999999999999999,0.79,0.6699999999999999,1,-3918581333333337.0,0.98
0.06999999999999999,0.79,0.7,1,-3687454933333329.0,0.98
0.06999999999999999,0.82,0.33999999999999997,1,-127259733333335.83,0.98
0.06999999999999999,0.82,0.37,1,-951922133333341.9,0.98
0.06999999999999999,0.82,0.4,1,-1680603733333335.2,0.98
0.06999999999999999,0.82,0.43,1,-2313304533333329.0,0.98
0.06999999999999999,0.82,0.45999999999999996,1,-2850024533333329.0,0.98
0.06999999999999999,0.82,0.49,1,-3290763733333325.0,0.98
0.06999999999999999,0.82,0.52,1,-3635522133333333.5,0.98
0.06999999999999999,0.82,0.55,1,-3884299733333322.0,0.98
0.06999999999999999,0.82,0.58,1,-4037096533333335.5,0.98
0.06999999999999999,0.82,0.61,1,-4093912533333335.0,0.98
0.06999999999999999,0.82,0.64,1,-4054747733333332.0,0.98
0.06999999999999999,0.82,0.6699999999999999,1,-3919602133333335.5,0.98
0.06999999999999999,0.82,0.7,1,-3688475733333327.5,0.98
0.06999999999999999,0.82,0.73,1,-3361368533333332.0,0.98
0.06999999999999999,0.85,0.33999999999999997,1,-128338133333333.69,0.98
0.06999999999999999,0.85,0.37,1,-953000533333339.8,0.98
0.06999999999999999,0.85,0.4,1,-1681682133333333.0,0.98
0.06999999999999999,0.85,0.43,1,-2314382933333332.5,0.98
0.06999999999999999,0.85,0.45999999999999996,1,-2851102933333332.5,0.98
0.06999999999999999,0.85,0.49,1,-3291842133333329.0,0.98
0.06999999999999999,0.85,0.52,1,-3636600533333337.5,0.98
0.06999999999999999,0.85,0.55,1,-3885378133333325.5,0.98
0.06999999999999999,0.85,0.58,1,-4038174933333339.5,0.98
0.06999999999999999,0.85,0.61,1,-4094990933333339.0,0.98
0.06999999999999999,0.85,0.64,1,-4055826133333336.0,0.98
0.06999999999999999,0.85,0.6699999999999999,1,-3920680533333339.5,0.98
0.06999999999999999,0.85,0.7,1,-3689554133333331.5,0.98
0.06999999999999999,0.85,0.73,1,-3362446933333336.0,0.98
0.06999999999999999,0.85,0.76,1,-2939358933333320.0,0.98
0.06999999999999999,0.88,0.33999999999999997,1,-129474133333335.27,0.98
0.06999999999999999,0.88,0.37,1,-954136533333341.4,0.98
0.06999999999999999,0.88,0.4,1,-1682818133333334.5,0.98
0.06999999999999999,0.88,0.43,1,-2315518933333330.0,0.98
0.06999999999999999,0.88,0.45999999999999996,1,-2852238933333330.0,0.98
0.06999999999999999,0.88,0.49,1,-3292978133333326.0,0.98
0.06999999999999999,0.88,0.52,1,-3637736533333334.5,0.98
0.06999999999999999,0.88,0.55,1,-3886514133333322.5,0.98
0.06999999999999999,0.88,0.58,1,-4039310933333336.5,0.98
0.06999999999999999,0.88,0.61,1,-4096126933333336.0,0.98
